file,type,length,modification,result
000002,Hip-Hop,10,flanger,"{""cost_time"":3.0750000476837,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":9360,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9360,""play_offset_ms"":9640,""acrid"":""4cc57d40a00ea99422b48289d290872b"",""Title"":""Food"",""Genre"":""Hip-Hop"",""Artist"":""AWOL"",""Album"":""AWOL - A Way Of Life"",""Comment"":"""",""Track Number"":""3"",""score"":100,""title"":""000002.mp3.db"",""bucket_id"":""22150"",""duration_ms"":29700,""db_begin_time_offset_ms"":0},{""db_end_time_offset_ms"":9360,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9360,""play_offset_ms"":9640,""acrid"":""aaa4b1eea47124a9fc91a08c9d993503"",""Title"":""Food"",""Genre"":""Hip-Hop"",""Artist"":""AWOL"",""Album"":""AWOL - A Way Of Life"",""Comment"":"""",""Track Number"":""3"",""score"":100,""title"":""000002.mp3.db"",""bucket_id"":""22150"",""duration_ms"":29700,""db_begin_time_offset_ms"":0}],""timestamp_utc"":""2024-06-11 22:19:08""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
000002,Hip-Hop,10,echo,"{""metadata"":{""timestamp_utc"":""2024-06-11 22:19:10"",""custom_files"":[{""db_begin_time_offset_ms"":0,""db_end_time_offset_ms"":9400,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9400,""play_offset_ms"":10180,""score"":100,""Title"":""Food"",""Artist"":""AWOL"",""Comment"":"""",""Track Number"":""3"",""Genre"":""Hip-Hop"",""title"":""000002.mp3.db"",""Album"":""AWOL - A Way Of Life"",""acrid"":""aaa4b1eea47124a9fc91a08c9d993503"",""bucket_id"":""22150"",""duration_ms"":29700},{""db_begin_time_offset_ms"":0,""db_end_time_offset_ms"":9400,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9400,""play_offset_ms"":10180,""score"":100,""Title"":""Food"",""Artist"":""AWOL"",""Comment"":"""",""Track Number"":""3"",""Genre"":""Hip-Hop"",""title"":""000002.mp3.db"",""Album"":""AWOL - A Way Of Life"",""acrid"":""4cc57d40a00ea99422b48289d290872b"",""bucket_id"":""22150"",""duration_ms"":29700}]},""cost_time"":0.79099988937378,""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
000002,Hip-Hop,10,band,"{""cost_time"":1.4750001430511,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":9360,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9360,""play_offset_ms"":9600,""acrid"":""4cc57d40a00ea99422b48289d290872b"",""Album"":""AWOL - A Way Of Life"",""Genre"":""Hip-Hop"",""score"":100,""Track Number"":""3"",""title"":""000002.mp3.db"",""Comment"":"""",""bucket_id"":""22150"",""Title"":""Food"",""duration_ms"":29700,""Artist"":""AWOL"",""db_begin_time_offset_ms"":0},{""db_end_time_offset_ms"":9360,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9360,""play_offset_ms"":9600,""acrid"":""aaa4b1eea47124a9fc91a08c9d993503"",""Album"":""AWOL - A Way Of Life"",""Genre"":""Hip-Hop"",""score"":100,""Track Number"":""3"",""title"":""000002.mp3.db"",""Comment"":"""",""bucket_id"":""22150"",""Title"":""Food"",""duration_ms"":29700,""Artist"":""AWOL"",""db_begin_time_offset_ms"":0}],""timestamp_utc"":""2024-06-11 22:19:11""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
000002,Hip-Hop,10,chorus,"{""metadata"":{""timestamp_utc"":""2024-06-11 22:19:13"",""custom_files"":[{""db_begin_time_offset_ms"":0,""db_end_time_offset_ms"":9340,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9340,""play_offset_ms"":9660,""score"":100,""Title"":""Food"",""Artist"":""AWOL"",""Comment"":"""",""Track Number"":""3"",""Genre"":""Hip-Hop"",""Album"":""AWOL - A Way Of Life"",""title"":""000002.mp3.db"",""acrid"":""aaa4b1eea47124a9fc91a08c9d993503"",""bucket_id"":""22150"",""duration_ms"":29700},{""db_begin_time_offset_ms"":0,""db_end_time_offset_ms"":9340,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9340,""play_offset_ms"":9660,""score"":100,""Title"":""Food"",""Artist"":""AWOL"",""Comment"":"""",""Track Number"":""3"",""Genre"":""Hip-Hop"",""Album"":""AWOL - A Way Of Life"",""title"":""000002.mp3.db"",""acrid"":""4cc57d40a00ea99422b48289d290872b"",""bucket_id"":""22150"",""duration_ms"":29700}]},""result_type"":0,""cost_time"":0.76699995994568,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
000005,Hip-Hop,10,flanger,"{""cost_time"":1,""result_type"":0,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":9360,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9360,""play_offset_ms"":9680,""acrid"":""40999338af1b3dad592b63200dfc31df"",""Album"":""AWOL - A Way Of Life"",""Track Number"":""6"",""Genre"":""Hip-Hop"",""score"":100,""bucket_id"":""22150"",""title"":""000005.mp3.db"",""Title"":""This World"",""Comment"":"""",""Artist"":""AWOL"",""duration_ms"":29640,""db_begin_time_offset_ms"":0},{""db_end_time_offset_ms"":9360,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9360,""play_offset_ms"":9680,""acrid"":""36b2ec4bb247361f582dd845630a0e9a"",""Album"":""AWOL - A Way Of Life"",""Track Number"":""6"",""Genre"":""Hip-Hop"",""score"":100,""bucket_id"":""22150"",""title"":""000005.mp3.db"",""Title"":""This World"",""Comment"":"""",""Artist"":""AWOL"",""duration_ms"":29640,""db_begin_time_offset_ms"":0}],""timestamp_utc"":""2024-06-11 22:19:15""},""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
000005,Hip-Hop,10,echo,"{""cost_time"":0.66999983787537,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""},""result_type"":0,""metadata"":{""timestamp_utc"":""2024-06-11 22:19:16"",""custom_files"":[{""db_end_time_offset_ms"":9420,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9420,""play_offset_ms"":10100,""Title"":""This World"",""title"":""000005.mp3.db"",""Album"":""AWOL - A Way Of Life"",""Comment"":"""",""Track Number"":""6"",""Genre"":""Hip-Hop"",""acrid"":""36b2ec4bb247361f582dd845630a0e9a"",""Artist"":""AWOL"",""score"":100,""duration_ms"":29640,""bucket_id"":""22150"",""db_begin_time_offset_ms"":0},{""db_end_time_offset_ms"":9420,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9420,""play_offset_ms"":10100,""Title"":""This World"",""title"":""000005.mp3.db"",""Album"":""AWOL - A Way Of Life"",""Comment"":"""",""Track Number"":""6"",""Genre"":""Hip-Hop"",""acrid"":""40999338af1b3dad592b63200dfc31df"",""Artist"":""AWOL"",""score"":100,""duration_ms"":29640,""bucket_id"":""22150"",""db_begin_time_offset_ms"":0}]}}
"
000005,Hip-Hop,10,band,"{""cost_time"":0.69400000572205,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""},""result_type"":0,""metadata"":{""timestamp_utc"":""2024-06-11 22:19:17"",""custom_files"":[{""db_end_time_offset_ms"":9440,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9440,""play_offset_ms"":9680,""Comment"":"""",""Track Number"":""6"",""title"":""000005.mp3.db"",""Album"":""AWOL - A Way Of Life"",""acrid"":""40999338af1b3dad592b63200dfc31df"",""score"":100,""duration_ms"":29640,""bucket_id"":""22150"",""Title"":""This World"",""Artist"":""AWOL"",""Genre"":""Hip-Hop"",""db_begin_time_offset_ms"":0},{""db_end_time_offset_ms"":9440,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9440,""play_offset_ms"":9680,""Comment"":"""",""Track Number"":""6"",""title"":""000005.mp3.db"",""Album"":""AWOL - A Way Of Life"",""acrid"":""36b2ec4bb247361f582dd845630a0e9a"",""score"":100,""duration_ms"":29640,""bucket_id"":""22150"",""Title"":""This World"",""Artist"":""AWOL"",""Genre"":""Hip-Hop"",""db_begin_time_offset_ms"":0}]}}
"
000005,Hip-Hop,10,chorus,"{""metadata"":{""timestamp_utc"":""2024-06-11 22:19:19"",""custom_files"":[{""acrid"":""40999338af1b3dad592b63200dfc31df"",""db_end_time_offset_ms"":9060,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9060,""play_offset_ms"":9720,""Title"":""This World"",""score"":100,""Comment"":"""",""Track Number"":""6"",""Genre"":""Hip-Hop"",""Album"":""AWOL - A Way Of Life"",""title"":""000005.mp3.db"",""db_begin_time_offset_ms"":0,""Artist"":""AWOL"",""bucket_id"":""22150"",""duration_ms"":29640},{""acrid"":""36b2ec4bb247361f582dd845630a0e9a"",""db_end_time_offset_ms"":9060,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9060,""play_offset_ms"":9720,""Title"":""This World"",""score"":100,""Comment"":"""",""Track Number"":""6"",""Genre"":""Hip-Hop"",""Album"":""AWOL - A Way Of Life"",""title"":""000005.mp3.db"",""db_begin_time_offset_ms"":0,""Artist"":""AWOL"",""bucket_id"":""22150"",""duration_ms"":29640}]},""result_type"":0,""cost_time"":0.60199999809265,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
000010,Pop,10,flanger,"{""status"":{""code"":0,""msg"":""Success"",""version"":""1.0""},""cost_time"":2.4489998817444,""metadata"":{""timestamp_utc"":""2024-06-11 22:19:23"",""custom_files"":[{""score"":100,""db_begin_time_offset_ms"":0,""db_end_time_offset_ms"":9560,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9560,""play_offset_ms"":9660,""Album"":""Constant Hitmaker"",""Title"":""Freeway"",""Artist"":""Kurt Vile"",""bucket_id"":""22150"",""duration_ms"":29700,""Comment"":"""",""Track Number"":""1"",""Genre"":""Pop"",""acrid"":""0f6be57ce5fe9c5abe8530cd2c2a2477"",""title"":""000010.mp3.db""},{""score"":100,""db_begin_time_offset_ms"":0,""db_end_time_offset_ms"":9560,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9560,""play_offset_ms"":9660,""Album"":""Constant Hitmaker"",""Title"":""Freeway"",""Artist"":""Kurt Vile"",""bucket_id"":""22150"",""duration_ms"":29700,""Comment"":"""",""Track Number"":""1"",""Genre"":""Pop"",""acrid"":""7a00e64bdb79c11c6309b284e6081001"",""title"":""000010.mp3.db""}]},""result_type"":0}
"
000010,Pop,10,echo,"{""cost_time"":0.65100002288818,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""},""result_type"":0,""metadata"":{""timestamp_utc"":""2024-06-11 22:19:24"",""custom_files"":[{""db_end_time_offset_ms"":9760,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9760,""play_offset_ms"":10200,""Genre"":""Pop"",""title"":""000010.mp3.db"",""Album"":""Constant Hitmaker"",""acrid"":""7a00e64bdb79c11c6309b284e6081001"",""score"":100,""Artist"":""Kurt Vile"",""duration_ms"":29700,""bucket_id"":""22150"",""Track Number"":""1"",""Comment"":"""",""Title"":""Freeway"",""db_begin_time_offset_ms"":0},{""db_end_time_offset_ms"":9760,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":9760,""play_offset_ms"":10200,""Genre"":""Pop"",""title"":""000010.mp3.db"",""Album"":""Constant Hitmaker"",""acrid"":""0f6be57ce5fe9c5abe8530cd2c2a2477"",""score"":100,""Artist"":""Kurt Vile"",""duration_ms"":29700,""bucket_id"":""22150"",""Track Number"":""1"",""Comment"":"""",""Title"":""Freeway"",""db_begin_time_offset_ms"":0}]}}
"
