file,type,length,modification,result,match
000002,Hip-Hop,10,original,Success,000002.mp3.db
000002,Hip-Hop,10,original,Success,000002.mp3.db
000002,Hip-Hop,10,original,Success,000002.mp3.db
000002,Hip-Hop,10,original,Success,000002.mp3.db
000005,Hip-Hop,10,original,Success,000005.mp3.db
000005,Hip-Hop,10,original,Success,000005.mp3.db
000005,Hip-Hop,10,original,Success,000005.mp3.db
000005,Hip-Hop,10,original,Success,000005.mp3.db
000010,Pop,10,original,Success,000010.mp3.db
000010,Pop,10,original,Success,000010.mp3.db
000010,Pop,10,original,Success,000010.mp3.db
000010,Pop,10,original,Success,000010.mp3.db
000140,Folk,10,original,Success,000140.mp3.db
000140,Folk,10,original,Success,000140.mp3.db
000140,Folk,10,original,Success,000140.mp3.db
000140,Folk,10,original,Success,000140.mp3.db
000141,Folk,10,original,Success,000141.mp3.db
000141,Folk,10,original,Success,000141.mp3.db
000141,Folk,10,original,Success,000141.mp3.db
000141,Folk,10,original,Success,000141.mp3.db
000148,Revival,10,original,Success,000148.mp3.db
000148,Revival,10,original,Success,000148.mp3.db
000148,Revival,10,original,Success,000148.mp3.db
000148,Revival,10,original,Success,000148.mp3.db
000182,Lo-fi,10,original,Success,000182.mp3.db
000182,Lo-fi,10,original,Success,000182.mp3.db
000182,Lo-fi,10,original,Success,000182.mp3.db
000182,Lo-fi,10,original,Success,000182.mp3.db
000190,Folk,10,original,Success,000190.mp3.db
000190,Folk,10,original,Success,000190.mp3.db
000190,Folk,10,original,Success,000190.mp3.db
000190,Folk,10,original,Success,000190.mp3.db
000193,Folk,10,original,Success,000193.mp3.db
000193,Folk,10,original,Success,000193.mp3.db
000193,Folk,10,original,Success,000193.mp3.db
000193,Folk,10,original,Success,000193.mp3.db
000194,Folk,10,original,Success,000194.mp3.db
000194,Folk,10,original,Success,000194.mp3.db
000194,Folk,10,original,Success,000194.mp3.db
000194,Folk,10,original,Success,000194.mp3.db
000197,Folk,10,original,Success,000197.mp3.db
000197,Folk,10,original,Success,000197.mp3.db
000197,Folk,10,original,Success,000197.mp3.db
000197,Folk,10,original,Success,000197.mp3.db
000200,Folk,10,original,Success,000200.mp3.db
000200,Folk,10,original,Success,000200.mp3.db
000200,Folk,10,original,Success,000200.mp3.db
000200,Folk,10,original,Success,000200.mp3.db
000203,Folk,10,original,Success,000203.mp3.db
000203,Folk,10,original,Success,000203.mp3.db
000203,Folk,10,original,Success,000203.mp3.db
000203,Folk,10,original,Success,000203.mp3.db
000204,Folk,10,original,Success,000204.mp3.db
000204,Folk,10,original,Success,000204.mp3.db
000204,Folk,10,original,Success,000204.mp3.db
000204,Folk,10,original,Success,000204.mp3.db
000207,Folk,10,original,Success,000207.mp3.db
000207,Folk,10,original,Success,000207.mp3.db
000207,Folk,10,original,Success,000207.mp3.db
000207,Folk,10,original,Success,000207.mp3.db
000210,Folk,10,original,Success,000210.mp3.db
000210,Folk,10,original,Success,000210.mp3.db
000210,Folk,10,original,Success,000210.mp3.db
000210,Folk,10,original,Success,000210.mp3.db
000211,Folk,10,original,Success,000211.mp3.db
000211,Folk,10,original,Success,000211.mp3.db
000211,Folk,10,original,Success,000211.mp3.db
000211,Folk,10,original,Success,000211.mp3.db
000212,Folk,10,original,Success,000212.mp3.db
000212,Folk,10,original,Success,000212.mp3.db
000212,Folk,10,original,Success,000212.mp3.db
000212,Folk,10,original,Success,000212.mp3.db
000213,Pop,10,original,Success,000213.mp3.db
000213,Pop,10,original,Success,000213.mp3.db
000213,Pop,10,original,Can't generate fingerprint,None
000213,Pop,10,original,Success,000213.mp3.db
000255,Pop,10,original,Success,000255.mp3.db
000255,Pop,10,original,Success,000255.mp3.db
000255,Pop,10,original,Success,000255.mp3.db
000255,Pop,10,original,Success,000255.mp3.db
000256,Metal,10,original,Success,000256.mp3.db
000256,Metal,10,original,Success,000256.mp3.db
000256,Metal,10,original,Success,000256.mp3.db
000256,Metal,10,original,Success,000256.mp3.db
000368,Tecno,10,original,Success,000368.mp3.db
000368,Tecno,10,original,Success,000368.mp3.db
000368,Tecno,10,original,Success,000368.mp3.db
000368,Tecno,10,original,Success,000368.mp3.db
000424,Avant-Garde,10,original,Success,000424.mp3.db
000424,Avant-Garde,10,original,Success,000424.mp3.db
000424,Avant-Garde,10,original,Success,000424.mp3.db
000424,Avant-Garde,10,original,Success,000424.mp3.db
000459,Krautrock,10,original,Success,000459.mp3.db
000459,Krautrock,10,original,Success,000459.mp3.db
000459,Krautrock,10,original,Success,000459.mp3.db
000459,Krautrock,10,original,Success,000459.mp3.db
000534,Folk,10,original,Success,000534.mp3.db
