file,type,length,modification,result
2,Hip-Hop,15,original,"{""cost_time"":3.3329999446869,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":14540,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11720,""play_offset_ms"":14580,""Title"":""Food"",""Artist"":""AWOL"",""Comment"":"""",""Track Number"":""3"",""Genre"":""Hip-Hop"",""score"":100,""title"":""000002.mp3.db"",""acrid"":""4cc57d40a00ea99422b48289d290872b"",""Album"":""AWOL - A Way Of Life"",""bucket_id"":""22150"",""duration_ms"":29700,""db_begin_time_offset_ms"":2820},{""db_end_time_offset_ms"":14540,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11720,""play_offset_ms"":14580,""Title"":""Food"",""Artist"":""AWOL"",""Comment"":"""",""Track Number"":""3"",""Genre"":""Hip-Hop"",""score"":100,""title"":""000002.mp3.db"",""acrid"":""aaa4b1eea47124a9fc91a08c9d993503"",""Album"":""AWOL - A Way Of Life"",""bucket_id"":""22150"",""duration_ms"":29700,""db_begin_time_offset_ms"":2820}],""timestamp_utc"":""2024-06-11 18:42:45""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
5,Hip-Hop,15,original,"{""cost_time"":2.0699999332428,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":14340,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11540,""play_offset_ms"":14600,""acrid"":""40999338af1b3dad592b63200dfc31df"",""Title"":""This World"",""Artist"":""AWOL"",""Comment"":"""",""Track Number"":""6"",""Genre"":""Hip-Hop"",""score"":100,""title"":""000005.mp3.db"",""Album"":""AWOL - A Way Of Life"",""bucket_id"":""22150"",""duration_ms"":29640,""db_begin_time_offset_ms"":2800},{""db_end_time_offset_ms"":14340,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11540,""play_offset_ms"":14600,""acrid"":""36b2ec4bb247361f582dd845630a0e9a"",""Title"":""This World"",""Artist"":""AWOL"",""Comment"":"""",""Track Number"":""6"",""Genre"":""Hip-Hop"",""score"":100,""title"":""000005.mp3.db"",""Album"":""AWOL - A Way Of Life"",""bucket_id"":""22150"",""duration_ms"":29640,""db_begin_time_offset_ms"":2800}],""timestamp_utc"":""2024-06-11 18:42:48""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
10,Pop,15,original,"{""metadata"":{""timestamp_utc"":""2024-06-11 18:42:50"",""custom_files"":[{""db_begin_time_offset_ms"":2720,""db_end_time_offset_ms"":14580,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11860,""play_offset_ms"":14680,""score"":100,""Title"":""Freeway"",""Artist"":""Kurt Vile"",""Comment"":"""",""Track Number"":""1"",""Genre"":""Pop"",""Album"":""Constant Hitmaker"",""acrid"":""0f6be57ce5fe9c5abe8530cd2c2a2477"",""title"":""000010.mp3.db"",""bucket_id"":""22150"",""duration_ms"":29700},{""db_begin_time_offset_ms"":2720,""db_end_time_offset_ms"":14580,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11860,""play_offset_ms"":14680,""score"":100,""Title"":""Freeway"",""Artist"":""Kurt Vile"",""Comment"":"""",""Track Number"":""1"",""Genre"":""Pop"",""Album"":""Constant Hitmaker"",""acrid"":""7a00e64bdb79c11c6309b284e6081001"",""title"":""000010.mp3.db"",""bucket_id"":""22150"",""duration_ms"":29700}]},""cost_time"":0.99699997901917,""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
140,Folk,15,original,"{""cost_time"":1.728000164032,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":14320,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11380,""play_offset_ms"":14680,""acrid"":""ef2e31d746384d6f682b39b32448c54a"",""Album"":""The Blind Spot"",""score"":100,""Title"":""Queen Of The Wires"",""Comment"":"""",""title"":""000140.mp3.db"",""Track Number"":""02"",""Artist"":""Alec K Redfearn And The Eyesores"",""bucket_id"":""22150"",""duration_ms"":29700,""Genre"":""Folk"",""db_begin_time_offset_ms"":2940},{""db_end_time_offset_ms"":14320,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11380,""play_offset_ms"":14680,""acrid"":""1653b06f1d812c73d3f3c536ea880150"",""Album"":""The Blind Spot"",""score"":100,""Title"":""Queen Of The Wires"",""Comment"":"""",""title"":""000140.mp3.db"",""Track Number"":""02"",""Artist"":""Alec K Redfearn And The Eyesores"",""bucket_id"":""22150"",""duration_ms"":29700,""Genre"":""Folk"",""db_begin_time_offset_ms"":2940}],""timestamp_utc"":""2024-06-11 18:42:52""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
141,Folk,15,original,"{""cost_time"":3.2910001277924,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":14440,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11680,""play_offset_ms"":14680,""Title"":""Ohio"",""Artist"":""Alec K. Redfearn and the Eyesores"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""Album"":""Every Man For Himself"",""score"":100,""title"":""000141.mp3.db"",""acrid"":""939a44108db3c14d3d44d5f2b3bf0646"",""bucket_id"":""22150"",""duration_ms"":29700,""db_begin_time_offset_ms"":2760},{""db_end_time_offset_ms"":14440,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11680,""play_offset_ms"":14680,""Title"":""Ohio"",""Artist"":""Alec K. Redfearn and the Eyesores"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""Album"":""Every Man For Himself"",""score"":100,""title"":""000141.mp3.db"",""acrid"":""924b0591fb4ffcba8228b50a859cd7d1"",""bucket_id"":""22150"",""duration_ms"":29700,""db_begin_time_offset_ms"":2760}],""timestamp_utc"":""2024-06-11 18:42:56""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
148,Revival,15,original,"{""metadata"":{""timestamp_utc"":""2024-06-11 18:42:58"",""custom_files"":[{""db_begin_time_offset_ms"":2860,""db_end_time_offset_ms"":14520,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11660,""play_offset_ms"":14640,""score"":100,""Title"":""Blackout 2"",""Artist"":""Andy Ortmann and Weasel Walter"",""Comment"":"""",""Track Number"":"""",""Genre"":""Revival"",""Album"":""Contradiction"",""title"":""000148.mp3.db"",""acrid"":""e5cadb50989a947466b73d48398094be"",""bucket_id"":""22150"",""duration_ms"":29700},{""db_begin_time_offset_ms"":2860,""db_end_time_offset_ms"":14520,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11660,""play_offset_ms"":14640,""score"":100,""Title"":""Blackout 2"",""Artist"":""Andy Ortmann and Weasel Walter"",""Comment"":"""",""Track Number"":"""",""Genre"":""Revival"",""Album"":""Contradiction"",""title"":""000148.mp3.db"",""acrid"":""91b5be72f898bb68befc82993c449970"",""bucket_id"":""22150"",""duration_ms"":29700}]},""result_type"":0,""cost_time"":0.86300015449524,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
182,Lo-fi,15,original,"{""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""},""result_type"":0,""metadata"":{""timestamp_utc"":""2024-06-11 18:43:02"",""custom_files"":[{""Genre"":""Lo-fi"",""Album"":""Worn Copy"",""title"":""000182.mp3.db"",""db_begin_time_offset_ms"":2740,""db_end_time_offset_ms"":14460,""sample_begin_time_offset_ms"":0,""acrid"":""e25a4c8eef2fd29e93fdee6f0c6ce40f"",""play_offset_ms"":14700,""score"":100,""Title"":""Jules Lost His Jewels"",""bucket_id"":""22150"",""Artist"":""Ariel Pink's Haunted Graffiti"",""duration_ms"":29740,""sample_end_time_offset_ms"":11720,""Comment"":"""",""Track Number"":""""},{""Genre"":""Lo-fi"",""Album"":""Worn Copy"",""title"":""000182.mp3.db"",""db_begin_time_offset_ms"":2740,""db_end_time_offset_ms"":14460,""sample_begin_time_offset_ms"":0,""acrid"":""1bf317712c9f30811c694911a2dc43a1"",""play_offset_ms"":14700,""score"":100,""Title"":""Jules Lost His Jewels"",""bucket_id"":""22150"",""Artist"":""Ariel Pink's Haunted Graffiti"",""duration_ms"":29740,""sample_end_time_offset_ms"":11720,""Comment"":"""",""Track Number"":""""}]},""cost_time"":2.8789999485016}
"
190,Folk,15,original,"{""cost_time"":3.5420000553131,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":14560,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11840,""play_offset_ms"":14700,""Title"":""Castle Of Stars"",""acrid"":""c9cdbf73c526bece0158e71a7a7b7284"",""Artist"":""Askew Ed"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""Album"":""Blue Piano"",""score"":100,""title"":""000190.mp3.db"",""bucket_id"":""22150"",""duration_ms"":29740,""db_begin_time_offset_ms"":2720},{""db_end_time_offset_ms"":14560,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11840,""play_offset_ms"":14700,""Title"":""Castle Of Stars"",""acrid"":""e5824381adb139ae4e9e2708f33d4a34"",""Artist"":""Askew Ed"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""Album"":""Blue Piano"",""score"":100,""title"":""000190.mp3.db"",""bucket_id"":""22150"",""duration_ms"":29740,""db_begin_time_offset_ms"":2720}],""timestamp_utc"":""2024-06-11 18:43:07""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
193,Folk,15,original,"{""metadata"":{""timestamp_utc"":""2024-06-11 18:43:08"",""custom_files"":[{""Comment"":"""",""db_begin_time_offset_ms"":2800,""db_end_time_offset_ms"":14380,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11580,""play_offset_ms"":14640,""score"":100,""Album"":""Blue Piano"",""title"":""000193.mp3.db"",""acrid"":""a9cf76fbda5a2285c7157c30a25ae3c0"",""Genre"":""Folk"",""Title"":""Here With You"",""Track Number"":"""",""Artist"":""Askew Ed"",""bucket_id"":""22150"",""duration_ms"":29620},{""Comment"":"""",""db_begin_time_offset_ms"":2800,""db_end_time_offset_ms"":14380,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11580,""play_offset_ms"":14640,""score"":100,""Album"":""Blue Piano"",""title"":""000193.mp3.db"",""acrid"":""6f6eb944b7c1e357ec16e0228c8fe95b"",""Genre"":""Folk"",""Title"":""Here With You"",""Track Number"":"""",""Artist"":""Askew Ed"",""bucket_id"":""22150"",""duration_ms"":29620}]},""result_type"":0,""cost_time"":0.67900013923645,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
194,Folk,15,original,"{""cost_time"":0.94300007820129,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""},""result_type"":0,""metadata"":{""timestamp_utc"":""2024-06-11 18:43:10"",""custom_files"":[{""db_end_time_offset_ms"":14260,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11460,""play_offset_ms"":14520,""title"":""000194.mp3.db"",""acrid"":""3272c6796160390e044b7364a54985c7"",""Title"":""All I want to Do"",""Artist"":""Askew Ed"",""score"":100,""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""duration_ms"":29740,""bucket_id"":""22150"",""Album"":""Blue Piano"",""db_begin_time_offset_ms"":2800},{""db_end_time_offset_ms"":14260,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11460,""play_offset_ms"":14520,""title"":""000194.mp3.db"",""acrid"":""21b88aadc2d4f824b77578e3523b3322"",""Title"":""All I want to Do"",""Artist"":""Askew Ed"",""score"":100,""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""duration_ms"":29740,""bucket_id"":""22150"",""Album"":""Blue Piano"",""db_begin_time_offset_ms"":2800}]}}
"
