file,type,length,modification,result,match,
000002,Hip-Hop,15,original,Success,None,
000005,Hip-Hop,15,original,Success,None,
000010,Pop,15,original,Success,None,
000140,Folk,15,original,Success,None,
000141,Folk,15,original,Success,None,
000148,Revival,15,original,Success,None,
000182,Lo-fi,15,original,Success,None,
000190,Folk,15,original,Success,None,
000193,Folk,15,original,Success,None,
000194,Folk,15,original,Success,None,
000197,Folk,15,original,Success,None,
000200,Folk,15,original,Success,None,
000203,Folk,15,original,Success,None,
000204,Folk,15,original,Success,None,
000207,Folk,15,original,Success,None,
000210,Folk,15,original,Success,None,
000211,Folk,15,original,Success,None,
000212,Folk,15,original,Success,None,
000213,Pop,15,original,Success,None,
000255,Pop,15,original,Success,None,
000256,Metal,15,original,Success,None,
000368,Tecno,15,original,Success,None,
000424,Avant-Garde,15,original,Success,None,
000459,Krautrock,15,original,Success,None,
000534,Folk,15,original,Success,None,
000540,Folk,15,original,Success,None,
000546,Folk,15,original,Success,None,
000574,Punk,15,original,Success,None,
000602,Folk,15,original,Success,None,
000615,Electroacoustic,15,original,No result,None,
000620,Folk,15,original,Success,None,
000621,Folk,15,original,Success,None,
000625,Folk,15,original,Success,None,
000666,Reggae,15,original,Success,None,
000667,Reggae,15,original,Success,None,
000676,Hip-Hop,15,original,Success,None,
000690,Rock,15,original,Success,None,
000694,Hip-Hop,15,original,Success,None,
000695,Hip-Hop,15,original,Success,None,
000704,Latin,15,original,Success,None,
000705,Latin,15,original,Success,None,
000706,Latin,15,original,Success,None,
000707,Latin,15,original,Success,None,
000708,Latin,15,original,Success,None,
000709,Latin,15,original,Success,None,
000714,Folk,15,original,Success,None,
000715,Folk,15,original,Success,None,
000716,Folk,15,original,Success,None,
000718,Folk,15,original,Success,None,
000777,Rock,15,original,Success,None,
000814,Folk,15,original,Success,None,
000821,Pop,15,original,Success,None,
000822,Pop,15,original,Success,None,
000825,Rock,15,original,Success,None,
000853,International,15,original,Success,None,
000890,Free Folk,15,original,Success,None,
000892,Free Folk,15,original,Success,None,
000897,Noise,15,original,Success,None,
000993,Rock,15,original,Success,None,
000995,Noise,15,original,Success,None,
000997,Noise,15,original,Success,None,
000998,Noise,15,original,Success,None,
001039,Other,15,original,Success,None,
001040,Rock,15,original,Success,None,
001066,Electronic,15,original,Success,None,
001069,Electronic,15,original,Success,None,
001073,Electronic,15,original,Success,None,
001075,Electronic,15,original,Success,None,
001082,International,15,original,Success,None,
001083,Avant-Garde,15,original,Success,None,
001087,Rock,15,original,Success,None,
001102,Rock,15,original,Success,None,
001193,Folk,15,original,Success,None,
001195,Folk,15,original,Success,None,
001196,Folk,15,original,Success,None,
001197,Folk,15,original,Success,None,
001249,Noise,15,original,Success,None,
001259,Noise,15,original,Success,None,
001270,Punk,15,original,Success,None,
001276,Plunderphonic,15,original,Success,None,
001277,Plunderphonic,15,original,Success,None,
001278,Audio Collage,15,original,Success,None,
001417,Rock,15,original,Success,None,
001427,Rock,15,original,Success,None,
001443,Drone,15,original,Success,None,
001482,Electronic,15,original,Success,None,
001510,Noise,15,original,Success,None,
001544,Folk,15,original,Success,None,
001642,Pop,15,original,Success,None,
001644,Pop,15,original,Success,None,
001649,Pop,15,original,Success,None,
001661,Pop,15,original,Success,None,
001663,Pop,15,original,Success,None,
001666,Pop,15,original,Success,None,
001673,Field Recording,15,original,Success,None,
001680,International,15,original,Success,None,
001681,International,15,original,Success,None,
001682,International,15,original,Success,None,
001683,International,15,original,Success,None,
001684,International,15,original,Success,None,
001685,International,15,original,Success,None,
001686,International,15,original,Success,None,
001687,International,15,original,Success,None,
001688,International,15,original,Success,None,
001689,International,15,original,Success,None,
001701,Folk,15,original,Success,None,
001702,Folk,15,original,Success,None,
001703,Folk,15,original,Success,None,
001704,Folk,15,original,Success,None,
001706,Rock,15,original,Success,None,
001720,Psych-Rock,15,original,Success,None,
001732,Experimental,15,original,Success,None,
001733,Experimental,15,original,Success,None,
001735,Experimental,15,original,Success,None,
001736,Experimental,15,original,Success,None,
001883,Rock,15,original,Success,None,
001891,Rock,15,original,Success,None,
001893,Folk,15,original,Success,None,
001924,Folk,15,original,Success,None,
001925,Folk,15,original,Success,None,
001929,Electronic,15,original,Success,None,
001930,Progressive,15,original,Success,None,
002012,Rock,15,original,Success,None,
002096,Experimental,15,original,Success,None,
002097,Folk,15,original,Success,None,
002099,Pop,15,original,Success,None,
003263,Folk,15,original,Success,None,
003264,Folk,15,original,Success,None,
003265,Folk,15,original,Success,None,
003266,Folk,15,original,Success,None,
003270,Folk,15,original,Success,None,
003271,Folk,15,original,Success,None,
003272,Folk,15,original,Success,None,
003273,Folk,15,original,Success,None,
003274,Folk,15,original,Success,None,
003492,Rock,15,original,Success,None,
003532,Pop,15,original,Success,None,
003533,Pop,15,original,Success,None,
003534,Pop,15,original,Success,None,
003535,Pop,15,original,Success,None,
003537,Pop,15,original,Success,None,
003538,Pop,15,original,Success,None,
003573,Electronic,15,original,Success,None,
003598,Folk,15,original,Success,None,
003624,Punk,15,original,Success,None,
003707,Folk,15,original,Success,None,
003708,Folk,15,original,Success,None,
003720,Rock,15,original,Success,None,
003721,Rock,15,original,Success,None,
003722,Rock,15,original,Success,None,
003724,Rock,15,original,Success,None,
003725,Rock,15,original,Success,None,
003761,Rock,15,original,Success,None,
003762,Rock,15,original,Success,None,
003763,Rock,15,original,Success,None,
003765,Rock,15,original,Success,None,
003766,Rock,15,original,Success,None,
003775,Latin,15,original,Success,None,
003776,Latin,15,original,Success,None,
003777,Latin,15,original,Success,None,
003778,Latin,15,original,Success,None,
003779,Latin,15,original,Success,None,
003832,Folk,15,original,Success,None,
003833,Rock,15,original,Success,None,
003840,Rock,15,original,Success,None,
003880,Folk,15,original,Success,None,
003895,Balkan,15,original,Success,None,
003896,Balkan,15,original,Success,None,
003904,Folk,15,original,Success,None,
003905,Folk,15,original,Success,None,
003906,Folk,15,original,Success,None,
003908,Folk,15,original,Success,None,
003909,Folk,15,original,Success,None,
003910,Folk,15,original,Success,None,
003911,Folk,15,original,Success,None,
003912,Folk,15,original,Success,None,
003913,Folk,15,original,Success,None,
003920,Folk,15,original,Success,None,
003921,Folk,15,original,Success,None,
003950,Garage,15,original,Success,None,
004013,Folk,15,original,Success,None,
004017,Folk,15,original,Success,None,
004022,Hardcore,15,original,Success,None,
004037,Other,15,original,Success,None,
004066,Psych-Folk,15,original,Success,None,
004067,Psych-Folk,15,original,Success,None,
004068,Psych-Folk,15,original,Success,None,
004069,Psych-Folk,15,original,Success,None,
004070,Latin America,15,original,Success,None,
004071,Latin America,15,original,Success,None,
004072,Latin America,15,original,Success,None,
004073,Latin America,15,original,Success,None,
004074,Latin America,15,original,Success,None,
004075,Latin America,15,original,Success,None,
004076,Latin America,15,original,Success,None,
004077,Latin America,15,original,Success,None,
004078,Latin America,15,original,Success,None,
004079,Latin America,15,original,Success,None,
004080,Latin America,15,original,Success,None,
004091,International,15,original,Success,None,
004092,International,15,original,Success,None,
004093,International,15,original,Success,None,
004094,International,15,original,Success,None,
004095,International,15,original,Success,None,
004096,International,15,original,Success,None,
004097,International,15,original,Success,None,
004098,International,15,original,Success,None,
004099,International,15,original,Success,None,
004100,International,15,original,Success,None,
004101,International,15,original,Success,None,
004102,International,15,original,Success,None,
004103,International,15,original,Success,None,
004108,Rock,15,original,Success,None,
004232,Ethnic,15,original,Success,None,
004233,Ethnic,15,original,Success,None,
004234,Ethnic,15,original,Success,None,
004235,Ethnic,15,original,Success,None,
004236,Ethnic,15,original,Success,None,
004239,Ethnic,15,original,Success,None,
004450,Folk,15,original,Success,None,
004507,French,15,original,Success,None,
004508,French,15,original,Success,None,
004509,French,15,original,Success,None,
004510,French,15,original,Success,None,
004511,French,15,original,Success,None,
004519,Electronic,15,original,Success,None,
004520,Electronic,15,original,Success,None,
004521,Electronic,15,original,Success,None,
004522,Electronic,15,original,Success,None,
004682,Hip-Hop,15,original,Success,None,
004684,Hip-Hop,15,original,Success,None,
004685,Hip-Hop,15,original,Success,None,
004688,Hip-Hop,15,original,Success,None,
